key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
targetResolution,Target resolution,Resolución objetivo,Resolución objetivo,Resolució objectiu,目标分辨率,目標解析度,目標解像度,Risoluzione target,Zielauflösung,Résolution cible,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Resolució objectiu,ความละเอียดเป้าหมาย,목표 해상도,1
canvasNotSupported,Canvas not supported,Canvas no soportado,Canvas no soportado,Canvas no compatible,浏览器不支持 Canvas,瀏覽器不支援 Canvas,Canvas がサポートされていません,Canvas non supportato,Canvas wird nicht unterstützt,Canvas non pris en charge,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas no compatible,เบราว์เซอร์ไม่รองรับ Canvas,브라우저가 Canvas를 지원하지 않습니다,1
targetResolutionTooLarge,Target resolution too large! Maximum is 4096px,¡Resolución objetivo demasiado grande! El máximo es 4096px,¡Resolución objetivo demasiado grande! El máximo es 4096px,Resolució objectiu massa gran! El màxim és 4096px,目标分辨率过大！最大为 4096px,目標解析度過大！最大為 4096px,目標解像度が大きすぎます！最大は 4096px,Risoluzione target troppo alta! Il massimo è 4096px,Zielauflösung zu groß! Maximum ist 4096px,Résolution cible trop élevée ! Le maximum est 4096px,Target resolution too large! Maximum is 4096px,Target разрешение too large! Maximum is 4096px,Target resolution too large! Maximum is 4096px,Target rozdzielczość too large! Maximum is 4096px,Target çözünürlük too large! Maximum is 4096px,Target bereizmena too large! Maximum is 4096px,Resolució objectiu massa gran! El màxim és 4096px,ความละเอียดเป้าหมายใหญ่เกินไป! สูงสุดคือ 4096px,목표 해상도가 너무 큽니다! 최대: 4096px,1
imageTooLargeToProcess,Image too large to process. Try a smaller image or resolution.,Imagen demasiado grande para procesar. Prueba con una imagen o resolución menor.,Imagen demasiado grande para procesar. Prueba con una imagen o resolución menor.,Imatge massa gran per processar. Prova amb una imatge o resolució menor.,图片太大无法处理。请尝试更小的图片或分辨率。,圖片太大無法處理。請嘗試較小的圖片或解析度。,処理するには画像が大きすぎます。小さい画像や解像度を試してください。,Immagine troppo grande per essere processata. Prova con un'immagine o una risoluzione più piccola.,Bild zu groß zum Verarbeiten. Versuche ein kleineres Bild oder eine geringere Auflösung.,Image trop grande pour être traitée. Essayez une image ou une résolution plus petite.,Image too large to process. Try a smaller image or resolution.,Изображение too large to process. Try a smaller image or разрешение.,Image too large to process. Try a smaller image or resolution.,Obraz too large to process. Try a smaller image or rozdzielczość.,Görüntü too large to process. Try a smaller image or çözünürlük.,Irudia too large to process. Try a smaller image or bereizmena.,Imatge massa gran per processar. Prova amb una imatge o resolució menor.,รูปใหญ่เกินกว่าจะประมวลผล ลองใช้รูปที่เล็กลงหรือความละเอียดต่ำลง,이미지를 처리할 수 없습니다. 작은 이미지나 낮은 해상도로 시도하세요.,1
errorProcessingImage,Error processing image,Error al procesar la imagen,Error al procesar la imagen,Error en processar la imatge,处理图片时出错,處理圖片時發生錯誤,画像の処理中にエラーが発生しました,Errore durante l'elaborazione dell'immagine,Fehler beim Verarbeiten des Bildes,Erreur lors du traitement de l'image,Error processing image,Error processing image,Error processing image,Error processing image,Error processing image,Error processing image,Error en processar la imatge,เกิดข้อผิดพลาดขณะประมวลผลรูป,이미지 처리 중 오류 발생,1
originalSize,Original,Original,Original,Original,原始,原始,オリジナル,Originale,Original,Original,Original,Original,Original,Original,Original,Original,Original,ต้นฉบับ,원본,1
keepOriginalSize,Keep original size,Mantener tamaño original,Mantener tamaño original,Mantenir mida original,保留原始大小,保持原始大小,元のサイズを保持,Mantieni dimensione originale,Originalgröße beibehalten,Conserver la taille originale,Keep original size,Keep original size,Keep original size,Keep original size,Keep original size,Keep original size,Mantenir mida original,เก็บขนาดต้นฉบับ,원본 크기 유지,1
unscaledSize,Unscaled resolution,Resolución sin escalado,Resolución sin escalado,Resolució sense escalat,未缩放分辨率,未縮放解析度,非スケール解像度,Risoluzione non scalata,Unskalierte Auflösung,Résolution sans mise à l'échelle,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Resolució sense escalat,ความละเอียดไม่สเกล,비확대 해상도,1
removeScaling,Remove scaling from pixel art,Eliminar escalado del pixel art,Quitar escalado del pixel art,Eliminar escalat del pixel art,移除像素艺术缩放,移除像素藝術縮放,ピクセルアートのスケーリングを除去,Rimuovi scaling dal pixel art,Skalierung vom Pixelart entfernen,Supprimer la mise à l'échelle du pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Eliminar escalat del pixel art,นำการสเกลออกจาก pixel art,픽셀 아트 스케일 제거,1
alignment,Alignment,Alineación,Alineación,Alineació,对齐,對齊,配置,Allineamento,Ausrichtung,Alignement,Alignment,Alignment,Alignment,Alignment,Alignment,Alignment,Alineació,การจัดตำแหน่ง,정렬,1
alignTopLeft,Top Left,Arriba izquierda,Arriba izquierda,A dalt a l'esquerra,左上,左上,左上,In alto a sinistra,Oben links,En haut à gauche,Top Left,Top Left,Top Left,Top Left,Top Left,Top Left,A dalt a l'esquerra,มุมบนซ้าย,좌상,1
alignTopCenter,Top Center,Arriba centro,Arriba centro,A dalt al centre,上中,上中,上中央,In alto al centro,Oben Mitte,En haut au centre,Top Center,Top Center,Top Center,Top Center,Top Center,Top Center,A dalt al centre,บนกลาง,상중,1
alignTopRight,Top Right,Arriba derecha,Arriba derecha,A dalt a la dreta,右上,右上,右上,In alto a destra,Oben rechts,En haut à droite,Top Right,Top Right,Top Right,Top Right,Top Right,Top Right,A dalt a la dreta,มุมบนขวา,우상,1
alignMiddleLeft,Middle Left,Centro izquierda,Centro izquierda,Al centre esquerra,中左,中左,中左,Centro sinistra,Mitte links,Milieu gauche,Middle Left,Middle Left,Middle Left,Middle Left,Middle Left,Middle Left,Al centre esquerra,กลางซ้าย,중좌,1
alignMiddleCenter,Middle Center,Centro,Centro,Al centre,居中,置中,中央,Centro,Mitte,Milieu,Middle Center,Middle Center,Middle Center,Middle Center,Middle Center,Middle Center,Al centre,กึ่งกลาง,중앙,1
alignMiddleRight,Middle Right,Centro derecha,Centro derecha,Al centre dreta,中右,中右,中右,Centro destra,Mitte rechts,Milieu droit,Middle Right,Middle Right,Middle Right,Middle Right,Middle Right,Middle Right,Al centre dreta,กลางขวา,중우,1
alignBottomLeft,Bottom Left,Abajo izquierda,Abajo izquierda,A baix a l'esquerra,左下,左下,左下,In basso a sinistra,Unten links,En bas à gauche,Bottom Left,Bottom Left,Bottom Left,Bottom Left,Bottom Left,Bottom Left,A baix a l'esquerra,มุมล่างซ้าย,좌하,1
alignBottomCenter,Bottom Center,Abajo centro,Abajo centro,A baix al centre,下中,下中,下中央,In basso al centro,Unten Mitte,En bas au centre,Bottom Center,Bottom Center,Bottom Center,Bottom Center,Bottom Center,Bottom Center,A baix al centre,ล่างกลาง,하중,1
alignBottomRight,Bottom Right,Abajo derecha,Abajo derecha,A baix a la dreta,右下,右下,右下,In basso a destra,Unten rechts,En bas à droite,Bottom Right,Bottom Right,Bottom Right,Bottom Right,Bottom Right,Bottom Right,A baix a la dreta,มุมล่างขวา,우하,1
amstradCpc0,"Amstrad CPC mode 0, Commodore 64 Multicolor","Modo Amstrad CPC 0, Commodore 64 multicolor","Modo Amstrad CPC 0, Commodore 64 multicolor","Mode Amstrad CPC 0, Commodore 64 multicolor",Amstrad CPC 模式 0，Commodore 64 多色,Amstrad CPC 模式 0，Commodore 64 多色,Amstrad CPC モード 0、Commodore 64 マルチカラー,"Modalità Amstrad CPC 0, Commodore 64 multicolor","Amstrad CPC Modus 0, Commodore 64 Mehrfarben","Mode Amstrad CPC 0, Commodore 64 multicolore","Amstrad CPC mode 0, Commodore 64 Multicolor","Amstrad CPC mode 0, Commodore 64 Multiцвет","Amstrad CPC mode 0, Commodore 64 Multicolor","Amstrad CPC mode 0, Commodore 64 Multikolor","Amstrad CPC mode 0, Commodore 64 Multirenk","Amstrad CPC mode 0, Commodore 64 Multikolore","Mode Amstrad CPC 0, Commodore 64 multicolor","โหมด Amstrad CPC 0, Commodore 64 หลายสี","Amstrad CPC 모드 0, Commodore 64 멀티컬러",1
amstradCpc1,"Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC modo 1, Commodore 64 High-Res, Amiga Low Res NTSC","Amstrad CPC Modo 1, Commodore 64 High-Res, Amiga Low Res NTSC","Mode Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC",Amstrad CPC 模式 1、Commodore 64 高分辨率、Amiga 低分辨率 NTSC,Amstrad CPC 模式 1、Commodore 64 高解析度、Amiga 低解析度 NTSC,Amstrad CPC モード 1、Commodore 64 High-Res、Amiga Low Res NTSC,"Modalità Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","Amstrad CPC Modus 1, Commodore 64 High-Res, Amiga Low Res NTSC","Mode Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Mode Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","โหมด Amstrad CPC 1, Commodore 64 ความละเอียดสูง, Amiga ความละเอียดต่ำ NTSC","Amstrad CPC 모드 1, Commodore 64 고해상도, Amiga 저해상도 NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC"
amstradCpc2,"Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Modo Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Modo Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Mode Amstrad CPC 2, Commodore Amiga Hi-Res NTSC",Amstrad CPC 模式 2、Commodore Amiga 高分辨率 NTSC,Amstrad CPC 模式 2、Commodore Amiga 高解析度 NTSC,Amstrad CPC モード 2、Commodore Amiga Hi-Res NTSC,"Modalità Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC Modus 2, Commodore Amiga Hi-Res NTSC","Mode Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Mode Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","โหมด Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC 모드 2, Commodore Amiga Hi-Res NTSC",1
unlimitedColors,Unlimited,Ilimitado,Ilimitado,Ilimitat,无限,無限,無制限,Illimitato,Unbegrenzt,Illimité,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Ilimitat,ไม่จำกัด,무제한,1
gameBoyColors,4 colors (green),4 colores (verde),4 colores (verde),4 colors (verd),4 色（绿色）,4 色（綠色）,4 色（緑）,4 colori (verde),4 Farben (grün),4 couleurs (vert),4 colors (green),4 цвета (green),4 colors (green),4 kolory (green),4 renkler (green),4 koloreak (green),4 colors (verd),4 สี (เขียว),4 색 (녹색),1
megaDrive16,Mega Drive (sprite sheet),Mega Drive (sprites),Mega Drive (sprites),Mega Drive (sprites),Mega Drive（sprites）,Mega Drive（sprites）,Mega Drive（スプライト）,Mega Drive (sprite),Mega Drive (Sprites),Mega Drive (sprites),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprites),Mega Drive (สไปรท์ชีต),Mega Drive (스프라이트 시트),1
megaDrive16Colors,16 colors (RGB 3-3-3),16 colores (RGB 3-3-3),16 colores (RGB 3-3-3),16 colors (RGB 3-3-3),16 色（RGB 3-3-3）,16 色（RGB 3-3-3）,16 色（RGB 3-3-3）,16 colori (RGB 3-3-3),16 Farben (RGB 3-3-3),16 couleurs (RGB 3-3-3),16 colors (RGB 3-3-3),16 цвета (RGB 3-3-3),16 colors (RGB 3-3-3),16 kolory (RGB 3-3-3),16 renkler (RGB 3-3-3),16 koloreak (RGB 3-3-3),16 colors (RGB 3-3-3),16 สี (RGB 3-3-3),16 색 (RGB 3-3-3),1
megaDriveMultiColors,64 colors (4×16),64 colores (4×16),64 colores (4×16),64 colors (4×16),64 色（4×16）,64 色（4×16）,64 色（4×16）,64 colori (4×16),64 Farben (4×16),64 couleurs (4×16),64 colors (4×16),64 цвета (4×16),64 colors (4×16),64 kolory (4×16),64 renkler (4×16),64 koloreak (4×16),64 colors (4×16),64 สี (4×16),64 색 (4×16),1
megaDriveSingleColors,16 colors (9-bit),16 colores (9-bit),16 colores (9-bit),16 colors (9-bit),16 色（9-bit）,16 色（9-bit）,16 色（9-bit）,16 colori (9-bit),16 Farben (9-bit),16 couleurs (9-bit),16 colors (9-bit),16 цвета (9-bit),16 colors (9-bit),16 kolory (9-bit),16 renkler (9-bit),16 koloreak (9-bit),16 colors (9-bit),16 สี (9-bit),16 색 (9-bit),1
neoGeoMultiColors,4096 colors (16×256),4096 colores (16×256),4096 colores (16×256),4096 colors (16×256),4096 色（16×256）,4096 色（16×256）,4096 色（16×256）,4096 colori (16×256),4096 Farben (16×256),4096 couleurs (16×256),4096 colors (16×256),4096 цвета (16×256),4096 colors (16×256),4096 kolory (16×256),4096 renkler (16×256),4096 koloreak (16×256),4096 colors (16×256),4096 สี (16×256),4096 색 (16×256),1
neoGeoSingleColors,16 colors (15-bit),16 colores (15-bit),16 colores (15-bit),16 colors (15-bit),16 色（15-bit）,16 色（15-bit）,16 色（15-bit）,16 colori (15-bit),16 Farben (15-bit),16 couleurs (15-bit),16 colors (15-bit),16 цвета (15-bit),16 colors (15-bit),16 kolory (15-bit),16 renkler (15-bit),16 koloreak (15-bit),16 colors (15-bit),16 สี (15-bit),16 색 (15-bit),1
zxSpectrumColors,16 colors (4-bit),16 colores (4-bit),16 colores (4-bit),16 colors (4-bit),16 色（4-bit）,16 色（4-bit）,16 色（4-bit）,16 colori (4-bit),16 Farben (4-bit),16 couleurs (4-bit),16 colors (4-bit),16 цвета (4-bit),16 colors (4-bit),16 kolory (4-bit),16 renkler (4-bit),16 koloreak (4-bit),16 colors (4-bit),16 สี (4-bit),16 색 (4-bit),1
cgaPalette0,CGA Palette 0,Paleta CGA 0,Paleta CGA 0,Paleta CGA 0,CGA 调色板 0,CGA 調色盤 0,CGA パレット 0,Palette CGA 0,CGA Palette 0,Palette CGA 0,CGA Palette 0,CGA палитра 0,CGA Palette 0,CGA Paleta 0,CGA Palet 0,CGA Paleta 0,Paleta CGA 0,พาเลท CGA 0,CGA 팔레트 0,1
cgaPalette1,CGA Palette 1,Paleta CGA 1,Paleta CGA 1,Paleta CGA 1,CGA 调色板 1,CGA 調色盤 1,CGA パレット 1,Palette CGA 1,CGA Palette 1,Palette CGA 1,CGA Palette 1,CGA палитра 1,CGA Palette 1,CGA Paleta 1,CGA Palet 1,CGA Paleta 1,Paleta CGA 1,พาเลท CGA 1,CGA 팔레트 1,1
cgaPalette2,CGA Palette 2,Paleta CGA 2,Paleta CGA 2,Paleta CGA 2,CGA 调色板 2,CGA 調色盤 2,CGA パレット 2,Palette CGA 2,CGA Palette 2,Palette CGA 2,CGA Palette 2,CGA палитра 2,CGA Palette 2,CGA Paleta 2,CGA Palet 2,CGA Paleta 2,Paleta CGA 2,พาเลท CGA 2,CGA 팔레트 2,1
gameBoyRealistic,Game Boy (realistic),Game Boy (realista),Game Boy (realista),Game Boy (realista),Game Boy（真实感）,Game Boy（真實風格）,Game Boy（リアル）,Game Boy (realistico),Game Boy (realistisch),Game Boy (réaliste),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (realista),Game Boy (สมจริง),Game Boy (리얼리스틱),1
cgaColors,4 colors (CGA),4 colores (CGA),4 colores (CGA),4 colors (CGA),4 色（CGA）,4 色（CGA）,4 色（CGA）,4 colori (CGA),4 Farben (CGA),4 couleurs (CGA),4 colors (CGA),4 цвета (CGA),4 colors (CGA),4 kolory (CGA),4 renkler (CGA),4 koloreak (CGA),4 colors (CGA),4 สี (CGA),4 색 (CGA),1
amstradCpcColors,27 colors,27 colores,27 colores,27 colors,27 色,27 色,27 色,27 colori,27 Farben,27 couleurs,27 colors,27 цвета,27 colors,27 kolory,27 renkler,27 koloreak,27 colors,27 สี,27 색,1
nesColors,64 colors,64 colores,64 colores,64 colors,64 色,64 色,64 色,64 colori,64 Farben,64 couleurs,64 colors,64 цвета,64 colors,64 kolory,64 renkler,64 koloreak,64 colors,64 สี,64 색,1
commodore64Colors,16 colors,16 colores,16 colores,16 colors,16 色,16 色,16 色,16 colori,16 Farben,16 couleurs,16 colors,16 цвета,16 colors,16 kolory,16 renkler,16 koloreak,16 colors,16 สี,16 색,1
